team_name,ourlads_slug,ourlads_id,banner_color
"Air Force Falcons","air-force","89877","#1a4d2e"
"Akron Zips","akron","89900","#1a4d2e"
"Alabama Crimson Tide","alabama","89923","#9E1B32"
"Appalachian State Mountaineers","appalacian-state","92913","#1a4d2e"
"Arizona Wildcats","arizona","89946","#1a4d2e"
"Arizona State Sun Devils","arizona-state","89969","#1a4d2e"
"Arkansas Razorbacks","arkansas","89992","#1a4d2e"
"Arkansas State Red Wolves","arkansas-state","90015","#1a4d2e"
"Army Black Knights","army","90038","#1a4d2e"
"Auburn Tigers","auburn","90061","#1a4d2e"
"Ball State Cardinals","ball-state","90084","#1a4d2e"
"Baylor Bears","baylor","90107","#1a4d2e"
"Boise State Broncos","boise-state","90130","#1a4d2e"
"Boston College Eagles","boston-college","90153","#1a4d2e"
"Bowling Green Falcons","bowling-green","90176","#1a4d2e"
"Buffalo Bulls","buffalo","90199","#1a4d2e"
"BYU Cougars","brigham-young","90222","#1a4d2e"
"California Golden Bears","california","90245","#1a4d2e"
"Central Florida Knights","central-florida","92200","#1a4d2e"
"Central Michigan Chippewas","central-michigan","90268","#1a4d2e"
"Charlotte 49ers","charlotte","92936","#1a4d2e"
"Cincinnati Bearcats","cincinnati","90291","#1a4d2e"
"Clemson Tigers","clemson","90314","#1a4d2e"
"Coastal Carolina Chanticleers","coastal-carolina","92959","#1a4d2e"
"Colorado Buffaloes","colorado","90337","#1a4d2e"
"Colorado State Rams","colorado-state","90360","#1a4d2e"
"Connecticut Huskies","connecticut","90383","#1a4d2e"
"Delaware Fightin' Blue Hens","delaware","93097","#1a4d2e"
"Duke Blue Devils","duke","90406","#1a4d2e"
"East Carolina Pirates","east-carolina","90452","#1a4d2e"
"Eastern Michigan Eagles","eastern-michigan","90429","#1a4d2e"
"FCS &amp; Small College NFL Prospects","fcs-and-small-college-nfl-prospects","92844","#1a4d2e"
"Florida Gators","florida","90498","#1a4d2e"
"Florida Atlantic Owls","florida-atlantic","90521","#1a4d2e"
"Florida International Panthers","florida-international","90475","#1a4d2e"
"Florida State Seminoles","florida-state","90544","#1a4d2e"
"Fresno State Bulldogs","fresno-state","90567","#1a4d2e"
"Georgia Bulldogs","georgia","90590","#1a4d2e"
"Georgia Southern Eagles","georgia-southern","92890","#1a4d2e"
"Georgia State Panthers","georgia-state","92752","#1a4d2e"
"Georgia Tech Yellow Jackets","georgia-tech","90613","#1a4d2e"
"Hawaii Rainbow Warriors","hawaii","90636","#1a4d2e"
"Houston Cougars","houston","90659","#1a4d2e"
"Illinois Fighting Illini","illinois","90705","#1a4d2e"
"Indiana Hoosiers","indiana","90728","#1a4d2e"
"Iowa Hawkeyes","iowa","90751","#1a4d2e"
"Iowa State Cyclones","iowa-state","90774","#1a4d2e"
"Jacksonville State Gamecocks","jacksonville-state","93028","#1a4d2e"
"James Madison Dukes","james-madison","93005","#1a4d2e"
"Kansas Jayhawks","kansas","90797","#1a4d2e"
"Kansas State Wildcats","kansas-state","90820","#1a4d2e"
"Kennesaw State Owls","kennesaw-state","93074","#1a4d2e"
"Kent State Golden Flashes","kent-state","90843","#1a4d2e"
"Kentucky Wildcats","kentucky","90866","#1a4d2e"
"Liberty Flames","liberty","92982","#1a4d2e"
"Louisiana Ragin' Cajuns","louisiana","90912","#1a4d2e"
"Louisiana Tech Bulldogs","louisiana-tech","90889","#1a4d2e"
"Louisiana-Monroe Warhawks","louisiana-monroe","90935","#1a4d2e"
"Louisville Cardinals","louisville","90958","#1a4d2e"
"LSU Tigers","lsu","90981","#1a4d2e"
